Name,Wins,Losses,Draws,Height,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Takafumi Otsuka,22,13,2,66.0,--,1.29,27%,2.12,67%,1.64,27%,65%,0.0
Saimon Oliveira,18,6,0,64.0,"72""",2.67,40%,4.13,46%,1.07,25%,38%,1.4
Alptekin Ozkilic,9,5,0,65.0,"65""",3.81,32%,5.72,59%,4.21,58%,75%,0.0
Bolaji Oki,10,2,0,70.0,"73""",7.05,45%,4.76,62%,1.24,75%,85%,0.0
Dan O'Connor,6,6,0 (1 NC),64.0,--,4.00,56%,5.10,54%,0.00,0%,100%,0.0
David Onama,14,2,0,71.0,"74""",5.24,50%,4.73,52%,1.08,30%,52%,0.5
Jorge Ortiz,18,9,1 (1 NC),72.0,--,3.53,58%,2.80,73%,0.00,0%,0%,0.0
Christian Ocon,2,1,0,68.0,"69""",1.73,53%,5.27,34%,0.00,0%,63%,0.0
Kurt Osiander,4,1,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Myktybek Orolbai,14,2,1,70.0,"74""",3.11,48%,3.08,50%,5.82,45%,40%,0.7
Dustin Ortiz,19,8,0,65.0,"65""",2.94,44%,2.17,56%,3.01,36%,52%,0.1
Charlie Ontiveros,11,9,0,74.0,"74""",1.89,41%,5.86,31%,0.00,0%,30%,0.0
Tito Ortiz,19,12,1,75.0,"74""",2.59,46%,2.88,60%,2.47,35%,54%,0.6
Dennis Olson,14,11,0,72.0,--,1.02,42%,5.27,38%,2.77,40%,0%,0.0
Sidney Outlaw,8,4,0,68.0,"74""",0.13,33%,0.80,71%,3.00,75%,0%,3.0
